Index	First	Last	Suffix	Position	Team	Rank
L BEL RB PIT	Le'Veon	Bell		RB	PIT	1
T GUR RB LAR	Todd	Gurley	II	RB	LAR	2
D JOH RB ARI	David	Johnson		RB	ARI	3
E ELL RB DAL	Ezekiel	Elliott		RB	DAL	4
A BRO WR PIT	Antonio	Brown		WR	PIT	5
S BAR RB NYG	Saquon	Barkley		RB	NYG	6
A KAM RB NO	Alvin	Kamara		RB	NO	7
J JON WR ATL	Julio	Jones		WR	ATL	8
O BEC WR NYG	Odell	Beckham	Jr.	WR	NYG	9
D HOP WR HOU	DeAndre	Hopkins		WR	HOU	10
K HUN RB KC	Kareem	Hunt		RB	KC	11
L FOU RB JAC	Leonard	Fournette		RB	JAC	12
D COO RB MIN	Dalvin	Cook		RB	MIN	13
M GOR RB LAC	Melvin	Gordon		RB	LAC	14
K ALL WR LAC	Keenan	Allen		WR	LAC	15
M THO WR NO	Michael	Thomas		WR	NO	16
D FRE RB ATL	Devonta	Freeman		RB	ATL	17
A GRE WR CIN	A.J.	Green		WR	CIN	18
C MCC RB CAR	Christian	McCaffrey		RB	CAR	19
R GRO TE NE	Rob	Gronkowski		TE	NE	20
D ADA WR GB	Davante	Adams		WR	GB	21
M EVA WR TB	Mike	Evans		WR	TB	22
L MCC RB BUF	LeSean	McCoy		RB	BUF	23
T HIL WR IND	T.Y.	Hilton		WR	IND	24
A THI WR MIN	Adam	Thielen		WR	MIN	25
S DIG WR MIN	Stefon	Diggs		WR	MIN	26
T HIL WR KC	Tyreek	Hill		WR	KC	27
L FIT WR ARI	Larry	Fitzgerald		WR	ARI	28
T KEL TE KC	Travis	Kelce		TE	KC	29
Z ERT TE PHI	Zach	Ertz		TE	PHI	30
A ROB WR CHI	Allen	Robinson		WR	CHI	31
D BAL WR SEA	Doug	Baldwin		WR	SEA	32
A COO WR OAK	Amari	Cooper		WR	OAK	33
J GOR WR CLE	Josh	Gordon		WR	CLE	34
M JON WR DET	Marvin	Jones	Jr.	WR	DET	35
J HOW RB CHI	Jordan	Howard		RB	CHI	36
J MCK RB SF	Jerick	McKinnon		RB	SF	37
J MIX RB CIN	Joe	Mixon		RB	CIN	38
D THO WR DEN	Demaryius	Thomas		WR	DEN	39
A JEF WR PHI	Alshon	Jeffery		WR	PHI	40
B COO WR LAR	Brandin	Cooks		WR	LAR	41
G TAT WR DET	Golden	Tate		WR	DET	42
K DRA RB MIA	Kenyan	Drake		RB	MIA	43
D HEN RB TEN	Derrick	Henry		RB	TEN	44
A COL RB BAL	Alex	Collins		RB	BAL	45
J AJA RB PHI	Jay	Ajayi		RB	PHI	46
R FRE RB DEN	Royce	Freeman		RB	DEN	47
R JON RB TB	Ronald	Jones	II	RB	TB	48
M LYN RB OAK	Marshawn	Lynch		RB	OAK	49
L MIL RB HOU	Lamar	Miller		RB	HOU	50
J LAN WR CLE	Jarvis	Landry		WR	CLE	51
J SMI WR PIT	JuJu	Smith-Schuster		WR	PIT	52
C HOG WR NE	Chris	Hogan		WR	NE	53
E SAN WR DEN	Emmanuel	Sanders		WR	DEN	54
D LEW RB TEN	Dion	Lewis		RB	TEN	55
A ROD QB GB	Aaron	Rodgers		QB	GB	56
T BRA QB NE	Tom	Brady		QB	NE	57
M ING RB NO	Mark	Ingram		RB	NO	58
I CRO RB NYJ	Isaiah	Crowell		RB	NYJ	59
R BUR RB NE	Rex	Burkhead		RB	NE	60
C CAR RB SEA	Chris	Carson		RB	SEA	61
C DAV WR TEN	Corey	Davis		WR	TEN	62
S WAT WR KC	Sammy	Watkins		WR	KC	63
D FUN WR CAR	Devin	Funchess		WR	CAR	64
