Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
T GUR RB LAR	Todd	Gurley	LAR	RB	2	1.0	-3.0		Emerged as NFL’s premier 3-down back in first year with Sean McVay.
L BEL RB PIT	Le'Veon	Bell	PIT	RB	1	2.0	-3.0		Averaged 27.5 touches/game last 2 years. Career-high 85 catches in ’17. 
E ELL RB DAL	Ezekiel	Elliott	DAL	RB	4	3.0	-3.0		Elliott has averaged 24.9 touches with 25 TDs through 25 NFL games. 
D JOH RB ARI	David	Johnson	ARI	RB	3	4.0	-3.0		I lean DJ over Zeke in full PPR but take Elliott in non- & 0.5-PPR drafts. 
A BRO WR PIT	Antonio	Brown	PIT	WR	5	5.0	-3.0		150+ targets 5 straight years. Has battled quad injury in training camp. 
D HOP WR HOU	DeAndre	Hopkins	HOU	WR	10	6.0	-3.0		Last year’s overall WR1 with Watson. Also WR1 with Savage/Yates. 
A KAM RB NO	Alvin	Kamara	NO	RB	7	7.0	-1.0		Last year’s RB4 on only 7.5 carries/game. Workload set to spike in year 2. 
S BAR RB NYG	Saquon	Barkley	NYG	RB	6	8.0	-3.0	Day to day	Cross between David Johnson-LeSean McCoy. Should rarely leave field. 
O BEC WR NYG	Odell	Beckham	NYG	WR	9	9.0	-3.0		Has finished WR5 or better in fantasy points/game in 4-of-4 seasons. 
M GOR RB LAC	Melvin	Gordon	LAC	RB	14	10.0	-2.0		Passing-game usage has risen every year. Now has best OL of career. 
J JON WR ATL	Julio	Jones	ATL	WR	8	11.0	-3.0		1,400+ receiving yards 4 straight years. Should experience +TD regression.
L FOU RB JAC	Leonard	Fournette	JAC	RB	12	12.0	-3.0		Has shed 17 lbs since rookie offseason. Drew 381 touches in year 1.
K HUN RB KC	Kareem	Hunt	KC	RB	11	13.0	-3.0		Led NFL in rushing yards, yards after contact & broken tackles as rookie. 
M THO WR NO	Michael	Thomas	NO	WR	16	14.0	-4.0		Plus-sized technician has room for big TD growth after 5-score ’17. 
D COO RB MIN	Dalvin	Cook	MIN	RB	13	15.0	-1.0		Back from ACL tear. OL concerns. May lose GL work to Latavius Murray. 
K ALL WR LAC	Keenan	Allen	LAC	WR	15	16.0	-3.0		Should dominate Chargers RZ looks with Hunter Henry out of picture. 
A GRE WR CIN	A.J.	Green	CIN	WR	18	17.0	-4.0		Turned 30 in July. Top-12 fantasy WR in points/game in 7-of-7 seasons. 
D ADA WR GB	Davante	Adams	GB	WR	21	18.0	-3.0		Leads NFL in receiving TDs (22) and RZ targets (46) last two seasons. 
D FRE RB ATL	Devonta	Freeman	ATL	RB	17	19.0	-3.0		High-floor, job-secure lead RB in Falcons offense likely to rebound.
R GRO TE NE	Rob	Gronkowski	NE	TE	20	20.0	-4.0		Monster TD & volume upside without Cooks & Edelman Weeks 1-4. 
M EVA WR TB	Mike	Evans	TB	WR	22	21.0	-3.0		Went 5/92/0, 6/78/0, 3/95/1 in 3 games with Ryan Fitzpatrick last year.
C MCC RB CAR	Christian	McCaffrey	CAR	RB	19	22.0	-2.0		Swept 1st-team snaps & executed GL carry in preseason opener. 
J HOW RB CHI	Jordan	Howard	CHI	RB	36	23.0	-3.0		Pass-game limitations but big TD upside in likely-improved offense.
T HIL WR IND	T.Y.	Hilton	IND	WR	24	24.0	-3.0		Led NFL in receiving yards in ’16. Keeps rising as Luck proves his health. 
J MIX RB CIN	Joe	Mixon	CIN	RB	38	25.0	-4.0		After sluggish rookie campaign, has dropped 20 lbs since 2017 spring. 
J MCK RB SF	Jerick	McKinnon	SF	RB	37	26.0	-3.0	Questionable for Week 1	Sidelined by calf strain. Alfred Morris is legitimate threat for carries. 
D BAL WR SEA	Doug	Baldwin	SEA	WR	32	27.0	-4.0	Ready for Week 1	WR9 pre-knee injury. Drafting already-injured players always scary. 
A THI WR MIN	Adam	Thielen	MIN	WR	25	28.0	-4.0		Elite route runner has major room for TD growth after 4-score 2017. 
S DIG WR MIN	Stefon	Diggs	MIN	WR	26	29.0	-3.0		High-end WR1 whenever not battling groin injuries last two seasons. 
T HIL WR KC	Tyreek	Hill	KC	WR	27	30.0	-2.0		Each of TyFreak’s last 13 touchdowns have come from 30+ yards out. 
L MCC RB BUF	LeSean	McCoy	BUF	RB	23	31.0	3.0	Status uncertain	Off-field concerns have quieted lately. Still projects for huge volume. 
A COL RB BAL	Alex	Collins	BAL	RB	45	32.0	-3.0		Avg’d 19.2 touches/game from Week 8 on. Gets both starting OGs back. 
T KEL TE KC	Travis	Kelce	KC	TE	29	33.0	2.0		Kelce’s targets per game have risen 4 straight years (5.4 > 6.4 > 7.3 > 8.1). 
A COO WR OAK	Amari	Cooper	OAK	WR	33	34.0	-1.0		Gruden says “main vein” of pass game, comp’d to Sterling Sharpe.
A ROB WR CHI	Allen	Robinson	CHI	WR	31	35.0	-3.0		Fade at ADP. Off ACL, changing teams, hasn’t played well since 2015.
J AJA RB PHI	Jay	Ajayi	PHI	RB	46	36.0	4.0		Avg’d 15.7 touches over final 6 games. Eagles missing 190 carries from ‘17.
L FIT WR ARI	Larry	Fitzgerald	ARI	WR	28	37.0	-3.0		100+ catches 3 straight years. Has minimal competition for targets. 
D HEN RB TEN	Derrick	Henry	TEN	RB	44	38.0	-2.0		Monster touchdown upside vs. soft schedule with improved coaching. 
Z ERT TE PHI	Zach	Ertz	PHI	TE	30	39.0	-1.0		Including playoffs, went 92/1,016/9 in 17 gms. Alshon absence would help.
A ROD QB GB	Aaron	Rodgers	GB	QB	56	40.0	64.0		40 TDs last 16 games. 
M JON WR DET	Marvin	Jones	DET	WR	35	41.0	-0.0		Led NFL in yds/catch (18.0) in ‘17. Eric Ebron’s exit frees up 86 targets.
K DRA RB MIA	Kenyan	Drake	MIA	RB	43	42.0	5.0		Expected to share time with Frank Gore despite white-hot 2017 finish. 
J SMI WR PIT	JuJu	Smith-Schuster	PIT	WR	52	43.0	-3.0		Safe WR2 with league-winner upside following Martavis ouster.
D THO WR DEN	Demaryius	Thomas	DEN	WR	39	44.0	-0.0		Coming off 6-year lows in catch rate, yds/catch. 31 in December.
G TAT WR DET	Golden	Tate	DET	WR	42	45.0	-4.0		Elite tackle breaker has 90+ catches 4 straight seasons. Contract year.
L MIL RB HOU	Lamar	Miller	HOU	RB	50	46.0	-3.0		1,200+ total yards 4 straight years. D’Onta Foreman headed for PUP. 
A JEF WR PHI	Alshon	Jeffery	PHI	WR	40	47.0	1.0	Questionable for Week 1	Long recovery from rotator cuff surgery has Week 1 status in doubt. 
B COO WR LAR	Brandin	Cooks	LAR	WR	41	48.0	-1.0		Volume likely to take hit in L.A. but should still mix in spiked weeks. 
