Index	Rank	Best	Worst	Avg	Std Dev	ADP
T GUR RB LAR	1	1	3	1.4	0.7	1.0
L BEL RB PIT	2	1	6	2.5	1.3	2.0
E ELL RB DAL	3	1	8	3.4	1.5	3.0
D JOH RB ARI	4	2	6	3.9	1.3	4.0
A BRO WR PIT	5	2	7	4.8	1.3	5.0
D HOP WR HOU	6	5	12	7.8	2.3	9.0
A KAM RB NO	7	3	17	8.5	3.8	6.0
S BAR RB NYG	8	6	14	8.9	2.5	7.0
O BEC WR NYG	9	4	14	9.6	2.7	12.0
M GOR RB LAC	10	6	19	10.9	3.5	11.0
J JON WR ATL	11	5	15	11.0	2.4	14.0
L FOU RB JAC	12	7	21	11.0	3.1	8.0
K HUN RB KC	13	6	17	12.0	2.9	10.0
M THO WR NO	14	9	21	14.6	2.5	15.0
D COO RB MIN	15	8	30	15.5	4.8	13.0
K ALL WR LAC	16	9	25	16.5	3.6	18.0
A GRE WR CIN	17	10	20	17.0	2.5	20.0
D ADA WR GB	18	10	25	17.3	3.5	19.0
D FRE RB ATL	19	14	29	18.7	3.7	17.0
R GRO TE NE	20	19	27	22.9	2.6	22.0
M EVA WR TB	21	17	32	23.6	4.3	24.0
C MCC RB CAR	22	14	38	24.0	5.7	16.0
J HOW RB CHI	23	17	35	24.1	4.6	21.0
T HIL WR IND	24	18	39	25.3	5.5	30.0
J MIX RB CIN	25	17	34	25.7	4.2	23.0
J MCK RB SF	26	19	41	27.4	5.6	27.0
D BAL WR SEA	27	21	40	29.5	4.9	34.0
A THI WR MIN	28	19	40	29.5	4.9	32.0
S DIG WR MIN	29	20	40	30.2	5.7	31.0
T HIL WR KC	30	19	45	31.1	7.4	28.0
L MCC RB BUF	31	13	58	32.7	10.9	26.0
A COL RB BAL	32	24	49	33.5	6.8	36.0
T KEL TE KC	33	23	57	34.7	10.6	29.0
A COO WR OAK	34	19	52	34.8	8.7	33.0
A ROB WR CHI	35	30	59	39.1	7.0	50.0
J AJA RB PHI	36	23	81	39.8	13.1	38.0
L FIT WR ARI	37	27	52	40.0	6.7	44.0
D HEN RB TEN	38	33	69	42.6	8.3	35.0
Z ERT TE PHI	39	31	65	43.3	10.0	39.0
A ROD QB GB	40	27	209	44.1	37.3	25.0
M JON WR DET	41	22	59	44.5	10.7	55.0
K DRA RB MIA	42	30	93	44.6	15.0	37.0
J SMI WR PIT	43	29	67	44.8	8.5	41.0
D THO WR DEN	44	27	71	47.7	11.5	46.0
G TAT WR DET	45	39	66	49.4	6.8	54.0
