Index	First	Last	Suffix	Team	Position
L BEL RB PIT	Le'Veon	Bell		PIT	RB
T GUR RB LAR	Todd	Gurley	II	LAR	RB
D JOH RB ARI	David	Johnson		ARI	RB
E ELL RB DAL	Ezekiel	Elliott		DAL	RB
A BRO WR PIT	Antonio	Brown		PIT	WR
S BAR RB NYG	Saquon	Barkley		NYG	RB
A KAM RB NO	Alvin	Kamara		NO	RB
J JON WR ATL	Julio	Jones		ATL	WR
O BEC WR NYG	Odell	Beckham	Jr.	NYG	WR
D HOP WR HOU	DeAndre	Hopkins		HOU	WR
K HUN RB KC	Kareem	Hunt		KC	RB
L FOU RB JAC	Leonard	Fournette		JAC	RB
D COO RB MIN	Dalvin	Cook		MIN	RB
M GOR RB LAC	Melvin	Gordon		LAC	RB
K ALL WR LAC	Keenan	Allen		LAC	WR
M THO WR NO	Michael	Thomas		NO	WR
D FRE RB ATL	Devonta	Freeman		ATL	RB
A GRE WR CIN	A.J.	Green		CIN	WR
C MCC RB CAR	Christian	McCaffrey		CAR	RB
R GRO TE NE	Rob	Gronkowski		NE	TE
D ADA WR GB	Davante	Adams		GB	WR
M EVA WR TB	Mike	Evans		TB	WR
L MCC RB BUF	LeSean	McCoy		BUF	RB
T HIL WR IND	T.Y.	Hilton		IND	WR
A THI WR MIN	Adam	Thielen		MIN	WR
S DIG WR MIN	Stefon	Diggs		MIN	WR
T HIL WR KC	Tyreek	Hill		KC	WR
L FIT WR ARI	Larry	Fitzgerald		ARI	WR
T KEL TE KC	Travis	Kelce		KC	TE
Z ERT TE PHI	Zach	Ertz		PHI	TE
A ROB WR CHI	Allen	Robinson		CHI	WR
D BAL WR SEA	Doug	Baldwin		SEA	WR
A COO WR OAK	Amari	Cooper		OAK	WR
J GOR WR CLE	Josh	Gordon		CLE	WR
M JON WR DET	Marvin	Jones	Jr.	DET	WR
J HOW RB CHI	Jordan	Howard		CHI	RB
J MCK RB SF	Jerick	McKinnon		SF	RB
J MIX RB CIN	Joe	Mixon		CIN	RB
D THO WR DEN	Demaryius	Thomas		DEN	WR
A JEF WR PHI	Alshon	Jeffery		PHI	WR
B COO WR LAR	Brandin	Cooks		LAR	WR
G TAT WR DET	Golden	Tate		DET	WR
K DRA RB MIA	Kenyan	Drake		MIA	RB
D HEN RB TEN	Derrick	Henry		TEN	RB
A COL RB BAL	Alex	Collins		BAL	RB
J AJA RB PHI	Jay	Ajayi		PHI	RB
R FRE RB DEN	Royce	Freeman		DEN	RB
R JON RB TB	Ronald	Jones	II	TB	RB
M LYN RB OAK	Marshawn	Lynch		OAK	RB
L MIL RB HOU	Lamar	Miller		HOU	RB
J LAN WR CLE	Jarvis	Landry		CLE	WR
J SMI WR PIT	JuJu	Smith-Schuster		PIT	WR
C HOG WR NE	Chris	Hogan		NE	WR
E SAN WR DEN	Emmanuel	Sanders		DEN	WR
D LEW RB TEN	Dion	Lewis		TEN	RB
A ROD QB GB	Aaron	Rodgers		GB	QB
T BRA QB NE	Tom	Brady		NE	QB
M ING RB NO	Mark	Ingram		NO	RB
I CRO RB NYJ	Isaiah	Crowell		NYJ	RB
R BUR RB NE	Rex	Burkhead		NE	RB
C CAR RB SEA	Chris	Carson		SEA	RB
C DAV WR TEN	Corey	Davis		TEN	WR
S WAT WR KC	Sammy	Watkins		KC	WR
D FUN WR CAR	Devin	Funchess		CAR	WR
R WOO WR LAR	Robert	Woods		LAR	WR
C NEW QB CAR	Cam	Newton		CAR	QB
C WEN QB PHI	Carson	Wentz		PHI	QB
R WIL QB SEA	Russell	Wilson		SEA	QB
D WAT QB HOU	Deshaun	Watson		HOU	QB
R AND WR NYJ	Robby	Anderson		NYJ	WR
M CRA WR BAL	Michael	Crabtree		BAL	WR
M GOO WR SF	Marquise	Goodwin		SF	WR
C KUP WR LAR	Cooper	Kupp		LAR	WR
W FUL WR HOU	Will	Fuller	V	HOU	WR
