Index	First	Last	Position	Team	Pick	Roster
A BRO WR PIT	Antonio	Brown	WR	PIT	1.0	1.0
O BEC WR NYG	Odell	Beckham	WR	NYG	2.0	2.0
A PET RB MIN	Adrian	Peterson	RB	MIN	3.0	3.0
J JON WR ATL	Julio	Jones	WR	ATL	4.0	4.0
T GUR RB LA	Todd	Gurley	RB	LA	5.0	5.0
E ELL RB DAL	Ezekiel	Elliott	RB	DAL	8.0	8.0
D HOP WR HOU	DeAndre	Hopkins	WR	HOU	10.0	10.0
D JOH RB ARI	David	Johnson	RB	ARI	7.0	7.0
D FRE RB ATL	Devonta	Freeman	RB	ATL	13.0	8.0
A GRE WR CIN	A.J.	Green	WR	CIN	11.0	10.0
R GRO TE NE	Rob	Gronkowski	TE	NE	6.0	6.0
L BEL RB PIT	Le'Veon	Bell	RB	PIT		
A ROB WR JAC	Allen	Robinson	WR	JAC	14.0	7.0
L MIL RB HOU	Lamar	Miller	RB	HOU		
D BRY WR DAL	Dez	Bryant	WR	DAL		
D MAR RB TB	Doug	Martin	RB	TB		
J NEL WR GB	Jordy	Nelson	WR	GB		
M ING RB NO	Mark	Ingram	RB	NO		
B MAR WR NYJ	Brandon	Marshall	WR	NYJ		
E LAC RB GB	Eddie	Lacy	RB	GB	9.0	9.0
A JEF WR CHI	Alshon	Jeffery	WR	CHI		
J CHA RB KC	Jamaal	Charles	RB	KC		
M EVA WR TB	Mike	Evans	WR	TB		
S WAT WR BUF	Sammy	Watkins	WR	BUF		
L MCC RB BUF	LeSean	McCoy	RB	BUF		
B COO WR NO	Brandin	Cooks	WR	NO		
J STE RB CAR	Jonathan	Stewart	RB	CAR		
J REE TE WAS	Jordan	Reed	TE	WAS		
A COO WR OAK	Amari	Cooper	WR	OAK		
D THO WR DEN	Demaryius	Thomas	WR	DEN		
K ALL WR SD	Keenan	Allen	WR	SD		
C HYD RB SF	Carlos	Hyde	RB	SF		
C AND RB DEN	C.J.	Anderson	RB	DEN		
T RAW RB SEA	Thomas	Rawls	RB	SEA		
C NEW QB CAR	Cam	Newton	QB	CAR		
T HIL WR IND	T.Y.	Hilton	WR	IND		
J EDE WR NE	Julian	Edelman	WR	NE	12.0	9.0
D BAL WR SEA	Doug	Baldwin	WR	SEA		
J LAN WR MIA	Jarvis	Landry	WR	MIA		
M FOR RB NYJ	Matt	Forte	RB	NYJ		
J HIL RB CIN	Jeremy	Hill	RB	CIN		
J MAC WR KC	Jeremy	Maclin	WR	KC		
R COB WR GB	Randall	Cobb	WR	GB		
E DEC WR NYJ	Eric	Decker	WR	NYJ		
G TAT WR DET	Golden	Tate	WR	DET		
D MON WR IND	Donte	Moncrief	WR	IND		
E SAN WR DEN	Emmanuel	Sanders	WR	DEN		
G OLS TE CAR	Greg	Olsen	TE	CAR		
A ROD QB GB	Aaron	Rodgers	QB	GB		
R WIL QB SEA	Russell	Wilson	QB	SEA		
K BEN WR CAR	Kelvin	Benjamin	WR	CAR		
M FLO WR ARI	Michael	Floyd	WR	ARI		
L FIT WR ARI	Larry	Fitzgerald	WR	ARI		
J BRO WR ARI	John	Brown	WR	ARI		
L MUR RB OAK	Latavius	Murray	RB	OAK		
R MAT RB PHI	Ryan	Mathews	RB	PHI		
D MUR RB TEN	DeMarco	Murray	RB	TEN		
J LAN RB CHI	Jeremy	Langford	RB	CHI		
M JON RB WAS	Matt	Jones	RB	WAS		
D WAL TE TEN	Delanie	Walker	TE	TEN		
A LUC QB IND	Andrew	Luck	QB	IND		
A FOS RB MIA	Arian	Foster	RB	MIA		
M GOR RB SD	Melvin	Gordon	RB	SD		
D JOH RB CLE	Duke	Johnson	RB	CLE		
D WOO RB SD	Danny	Woodhead	RB	SD		
F GOR RB IND	Frank	Gore	RB	IND		
