Name	Summary	POS	Status	Date	Injury	Returns	Team
Robert Nkemdiche	footCardinals DT Robert Nkemdiche (foot) didn't practice on Sunday.Status uncertainAug 19	DL	Sidelined	Aug 19	foot	Status uncertain	Arizona Cardinals
A.Q. Shipley	kneeCardinals C A.Q. Shipley has been diagnosed with a torn right ACL and will miss the 2018 season.Out for seasonAug 6	C	I.L.	Aug 6	knee	Out for season	Arizona Cardinals
Deone Bucannon	kneeCardinals coach Steve Wilks expects LB Deone Bucannon (knee) to resume practicing this week.Day to DayAug 19	LB	Sidelined	Aug 3	knee	Day to Day	Arizona Cardinals
Jermaine Gresham	achillesCardinals placed TE Jermaine Gresham on active/PUP.Questionable for Week 1Jul 23	TE	Sidelined	Dec 31	achilles	Questionable for Week 1	Arizona Cardinals
Markus Golden	"knee surgeryCardinals coach Steve Wilks said EDGE Markus Golden (knee) is ""on schedule.""Week to weekAug 15"	DL	Sidelined	Oct 2	knee surgery	Week to week	Arizona Cardinals
Jeremy Cash	-Panthers UDFA rookie Jeremy Cash will play linebacker.Out for seasonMay 14	LB	I.L.	May 14	-	Out for season	Arizona Cardinals
Lou Young	-Panthers promoted CB Lou Young from the practice squad.Jan 5	DB	I.L.	Jan 5	-		Arizona Cardinals
Jimmy Smith	-The Ravens have no plans to move on from CB Jimmy Smith despite his suspension for violating the league's personal conduct policy.Week 5Aug 21	DB	Suspended	Aug 21	-	Week 5	Baltimore Ravens
Quincy Adeboyejo	legRavens WR Quincy Adeboyejo (leg surgery) will begin the regular season on the reserve/PUP list, costing him six games.Out indefinitelyAug 14	WR	PUP	Aug 14	leg	Out indefinitely	Baltimore Ravens
Jaylen Hill	kneeRavens second-year CB Jaylen Hill suffered a torn right ACL and MCL last December.Questionable for Week 1May 9	DB	PUP	May 9	knee	Questionable for Week 1	Baltimore Ravens
LeSean McCoy	groinLeSean McCoy (groin) won't practice on Monday.Status uncertainAug 20	RB	Sidelined	Aug 20	groin	Status uncertain	Buffalo Bills
Cory Carter	kneeBills waived/injured Cory Carter.Out for the seasonAug 19	P	I.L.	Aug 19	knee	Out for the season	Buffalo Bills
A.J. McCarron	"clavicleUpdating a previous report, ESPN's Adam Schefter reports A.J. McCarron did not suffer a broken collarbone in the Bills' second preseason and will return to practice ""soon.""Status uncertainAug 20"	QB	Sidelined	Aug 17	clavicle	Status uncertain	Buffalo Bills
Kyle Williams	kneeBills coach Sean McDermott said DT Kyle Williams (knee) is week-to-week.Week to weekAug 19	DL	Sidelined	Aug 17	knee	Week to week	Buffalo Bills
Star Lotulelei	backBills DT Star Lotulelei injured his back in Thursday's preseason opener against the Panthers.Status uncertainAug 10	DL	Sidelined	Aug 10	back	Status uncertain	Buffalo Bills
Matt Kalil	"kneePanthers LT Matt Kalil (knee) is considered ""week-to-week"" after having his knee scoped Tuesday.'Week-to-week'Aug 21"	T	Sidelined	Aug 20	knee	'Week-to-week'	Carolina Panthers
Tyler Larsen	elbowPanthers C/T Tyler Larsen (elbow) didn't practice on Sunday.Week 1Aug 12	C	Sidelined	Aug 12	elbow	Week 1	Carolina Panthers
Daryl Williams	kneePanthers RT Daryl Williams (knee) is expected to open the season on injured reserve.Return Week 9?Aug 8	T	I.L.	Aug 8	knee	Return Week 9?	Carolina Panthers
Amini Silatolu	kneePanthers LG Amini Silatolu is week to week after undergoing surgery to repair a torn left meniscus.Week to weekAug 7	G	Sidelined	Aug 7	knee	Week to week	Carolina Panthers
Ross Cockrell	legPanthers placed CB Ross Cockrell (leg) on injured reserve.Out for seasonAug 1	DB	I.L.	Aug 1	leg	Out for season	Carolina Panthers
Chris Manhertz	footPanthers TE Chris Manhertz (Jones fracture) will begin training camp on the active/PUP list.Questionable for Week 1Jul 17	TE	Sidelined	Jul 17	foot	Questionable for Week 1	Carolina Panthers
