Index	First	Last	Position	Team	Pick	Roster
A BRO WR PIT	Antonio	Brown	WR	PIT	1.0	
O BEC WR NYG	Odell	Beckham	WR	NYG	2.0	
A PET RB MIN	Adrian	Peterson	RB	MIN	3.0	
J JON WR ATL	Julio	Jones	WR	ATL	5.0	
T GUR RB LA	Todd	Gurley	RB	LA	4.0	
E ELL RB DAL	Ezekiel	Elliott	RB	DAL	6.0	
D HOP WR HOU	DeAndre	Hopkins	WR	HOU	11.0	
D JOH RB ARI	David	Johnson	RB	ARI	7.0	
D FRE RB ATL	Devonta	Freeman	RB	ATL	8.0	
A GRE WR CIN	A.J.	Green	WR	CIN	10.0	1.0
R GRO TE NE	Rob	Gronkowski	TE	NE	12.0	
L BEL RB PIT	Le'Veon	Bell	RB	PIT	9.0	
A ROB WR JAC	Allen	Robinson	WR	JAC	16.0	
L MIL RB HOU	Lamar	Miller	RB	HOU	13.0	
D BRY WR DAL	Dez	Bryant	WR	DAL	15.0	1.0
D MAR RB TB	Doug	Martin	RB	TB	19.0	
J NEL WR GB	Jordy	Nelson	WR	GB	17.0	
M ING RB NO	Mark	Ingram	RB	NO	18.0	
B MAR WR NYJ	Brandon	Marshall	WR	NYJ	21.0	
E LAC RB GB	Eddie	Lacy	RB	GB	23.0	
A JEF WR CHI	Alshon	Jeffery	WR	CHI	22.0	
J CHA RB KC	Jamaal	Charles	RB	KC	14.0	
M EVA WR TB	Mike	Evans	WR	TB	26.0	
S WAT WR BUF	Sammy	Watkins	WR	BUF	24.0	
L MCC RB BUF	LeSean	McCoy	RB	BUF	20.0	
B COO WR NO	Brandin	Cooks	WR	NO	30.0	
J STE RB CAR	Jonathan	Stewart	RB	CAR	33.0	
J REE TE WAS	Jordan	Reed	TE	WAS	46.0	
A COO WR OAK	Amari	Cooper	WR	OAK	27.0	
D THO WR DEN	Demaryius	Thomas	WR	DEN	35.0	
K ALL WR SD	Keenan	Allen	WR	SD	31.0	
C HYD RB SF	Carlos	Hyde	RB	SF	32.0	
C AND RB DEN	C.J.	Anderson	RB	DEN	25.0	
T RAW RB SEA	Thomas	Rawls	RB	SEA	29.0	
C NEW QB CAR	Cam	Newton	QB	CAR	28.0	
T HIL WR IND	T.Y.	Hilton	WR	IND	34.0	1.0
J EDE WR NE	Julian	Edelman	WR	NE	40.0	
D BAL WR SEA	Doug	Baldwin	WR	SEA	36.0	
J LAN WR MIA	Jarvis	Landry	WR	MIA	37.0	
M FOR RB NYJ	Matt	Forte	RB	NYJ	45.0	
J HIL RB CIN	Jeremy	Hill	RB	CIN	38.0	
