Index	First	Last	Position	Team	Pick	Roster
L BEL RB PIT	Le'Veon	Bell	RB	PIT	1.0	1.0
T GUR RB LAR	Todd	Gurley	RB	LAR		
D JOH RB ARI	David	Johnson	RB	ARI		
E ELL RB DAL	Ezekiel	Elliott	RB	DAL		
A BRO WR PIT	Antonio	Brown	WR	PIT		
S BAR RB NYG	Saquon	Barkley	RB	NYG		
A KAM RB NO	Alvin	Kamara	RB	NO		
J JON WR ATL	Julio	Jones	WR	ATL		
O BEC WR NYG	Odell	Beckham	WR	NYG		
D HOP WR HOU	DeAndre	Hopkins	WR	HOU		
K HUN RB KC	Kareem	Hunt	RB	KC		
L FOU RB JAC	Leonard	Fournette	RB	JAC		
D COO RB MIN	Dalvin	Cook	RB	MIN		
M GOR RB LAC	Melvin	Gordon	RB	LAC		
K ALL WR LAC	Keenan	Allen	WR	LAC		
M THO WR NO	Michael	Thomas	WR	NO		
D FRE RB ATL	Devonta	Freeman	RB	ATL		
A GRE WR CIN	A.J.	Green	WR	CIN		
C MCC RB CAR	Christian	McCaffrey	RB	CAR		
R GRO TE NE	Rob	Gronkowski	TE	NE		
D ADA WR GB	Davante	Adams	WR	GB		
M EVA WR TB	Mike	Evans	WR	TB		
L MCC RB BUF	LeSean	McCoy	RB	BUF		
T HIL WR IND	T.Y.	Hilton	WR	IND		
A THI WR MIN	Adam	Thielen	WR	MIN		
S DIG WR MIN	Stefon	Diggs	WR	MIN		
T HIL WR KC	Tyreek	Hill	WR	KC		
L FIT WR ARI	Larry	Fitzgerald	WR	ARI		
T KEL TE KC	Travis	Kelce	TE	KC		
Z ERT TE PHI	Zach	Ertz	TE	PHI		
A ROB WR CHI	Allen	Robinson	WR	CHI		
D BAL WR SEA	Doug	Baldwin	WR	SEA		
A COO WR OAK	Amari	Cooper	WR	OAK		
J GOR WR CLE	Josh	Gordon	WR	CLE		
M JON WR DET	Marvin	Jones	WR	DET		
J HOW RB CHI	Jordan	Howard	RB	CHI		
J MCK RB SF	Jerick	McKinnon	RB	SF		
J MIX RB CIN	Joe	Mixon	RB	CIN		
D THO WR DEN	Demaryius	Thomas	WR	DEN		
A JEF WR PHI	Alshon	Jeffery	WR	PHI		
B COO WR LAR	Brandin	Cooks	WR	LAR		
G TAT WR DET	Golden	Tate	WR	DET		
K DRA RB MIA	Kenyan	Drake	RB	MIA		
D HEN RB TEN	Derrick	Henry	RB	TEN		
A COL RB BAL	Alex	Collins	RB	BAL		
J AJA RB PHI	Jay	Ajayi	RB	PHI		
R FRE RB DEN	Royce	Freeman	RB	DEN		
R JON RB TB	Ronald	Jones	RB	TB		
M LYN RB OAK	Marshawn	Lynch	RB	OAK		
L MIL RB HOU	Lamar	Miller	RB	HOU		
J LAN WR CLE	Jarvis	Landry	WR	CLE		
J SMI WR PIT	JuJu	Smith-Schuster	WR	PIT		
C HOG WR NE	Chris	Hogan	WR	NE		
E SAN WR DEN	Emmanuel	Sanders	WR	DEN		
D LEW RB TEN	Dion	Lewis	RB	TEN		
A ROD QB GB	Aaron	Rodgers	QB	GB		
T BRA QB NE	Tom	Brady	QB	NE		
M ING RB NO	Mark	Ingram	RB	NO		
I CRO RB NYJ	Isaiah	Crowell	RB	NYJ		
R BUR RB NE	Rex	Burkhead	RB	NE		
C CAR RB SEA	Chris	Carson	RB	SEA		
C DAV WR TEN	Corey	Davis	WR	TEN		
S WAT WR KC	Sammy	Watkins	WR	KC		
D FUN WR CAR	Devin	Funchess	WR	CAR		
R WOO WR LAR	Robert	Woods	WR	LAR		
C NEW QB CAR	Cam	Newton	QB	CAR		
C WEN QB PHI	Carson	Wentz	QB	PHI		
R WIL QB SEA	Russell	Wilson	QB	SEA		
D WAT QB HOU	Deshaun	Watson	QB	HOU		
R AND WR NYJ	Robby	Anderson	WR	NYJ		
M CRA WR BAL	Michael	Crabtree	WR	BAL		
M GOO WR SF	Marquise	Goodwin	WR	SF		
C KUP WR LAR	Cooper	Kupp	WR	LAR		
W FUL WR HOU	Will	Fuller	WR	HOU		
R COB WR GB	Randall	Cobb	WR	GB		
K BEN WR BUF	Kelvin	Benjamin	WR	BUF		
G OLS TE CAR	Greg	Olsen	TE	CAR		
D WAL TE TEN	Delanie	Walker	TE	TEN		
E ENG TE NYG	Evan	Engram	TE	NYG		
D JOH RB CLE	Duke	Johnson	RB	CLE		
K STI WR MIA	Kenny	Stills	WR	MIA		
